epoch,loss
1,0.04741975412372967
2,0.012732833482163109
3,0.011657353777014424
4,0.01144428130553659
5,0.011371066104239592
6,0.011345821893071312
7,0.011320529833717076
8,0.011315010651193388
9,0.011297875422808102
10,0.01128880979905329
11,0.011273271305357936
12,0.011260237939574796
13,0.011247126822648069
14,0.0112366748365152
15,0.01123299234358551
16,0.01121692610440104
17,0.01121217295791849
18,0.01121453500276579
19,0.011214165853650863
20,0.011198640073937794
21,0.011201031051118812
22,0.011204777200899237
23,0.011193372506905547
24,0.011196568904234969
25,0.01119349776205066
26,0.011185772520492373
27,0.011182709620870136
28,0.011187254033787439
29,0.01118281123090221
30,0.011184145366568166
